seed,policy,decision_cost,false_accept,false_reject,investigations,probe_calls,event_recall,event_precision,brier
15,random_acquire,174.0,8,4,120,120,0.8431372549019608,0.9148936170212766,0.08029223153299982
15,always_acquire,94.00000000000003,0,4,120,120,1.0,0.9272727272727272,0.025558707857332406
15,eig_one_step,101.00000000000003,1,3,120,120,0.9803921568627451,0.9433962264150944,0.026957391714594256
15,voi_one_step,78.80000000000001,0,4,82,82,1.0,0.9272727272727272,0.02282354198314741
15,active,75.80000000000001,0,3,82,82,1.0,0.9444444444444444,0.016205379647930472
16,baseline,227.0,25,2,0,0,0.5098039215686274,0.9285714285714286,
16,binary_naive,246.0,31,2,0,0,0.39215686274509803,0.9090909090909091,0.2010294578141415
16,binary,272.0,37,2,0,0,0.27450980392156865,0.875,0.17114482377188725
16,state_direct,217.0,19,6,0,0,0.6274509803921569,0.8421052631578947,0.17114482377188725
16,random_acquire,200.99999999999997,12,6,120,120,0.7647058823529411,0.8666666666666667,0.11943051884223627
16,always_acquire,108.00000000000001,3,5,120,120,0.9411764705882353,0.9056603773584906,0.054815343970738374
16,eig_one_step,103.00000000000001,4,2,120,120,0.9215686274509803,0.9591836734693877,0.04151531936035687
16,voi_one_step,95.60000000000002,4,5,79,79,0.9215686274509803,0.9038461538461539,0.060199637611833126
16,active,88.60000000000002,3,4,79,79,0.9411764705882353,0.9230769230769231,0.04559045177734025
17,baseline,224.0,24,2,0,0,0.5294117647058824,0.9310344827586207,
17,binary_naive,252.0,33,2,0,0,0.35294117647058826,0.9,0.17034838918456033
17,binary,266.0,38,1,0,0,0.2549019607843137,0.9285714285714286,0.13063741989889485
17,state_direct,190.0,15,2,0,0,0.7058823529411765,0.9473684210526315,0.13063741989889485
17,random_acquire,175.0,9,1,120,120,0.8235294117647058,0.9767441860465116,0.08158370251830442
17,always_acquire,92.00000000000003,1,2,120,120,0.9803921568627451,0.9615384615384616,0.024036571029456808
17,eig_one_step,86.00000000000003,1,0,120,120,0.9803921568627451,1.0,0.006954652576600192
17,voi_one_step,75.20000000000002,0,2,88,88,1.0,0.9622641509433962,0.020335038918769675
17,active,69.60000000000001,0,0,88,89,1.0,1.0,0.007460420888989975
18,baseline,225.0,24,2,0,0,0.5294117647058824,0.9310344827586207,
18,binary_naive,249.0,32,2,0,0,0.37254901960784315,0.9047619047619048,0.17961339316831446
18,binary,278.0,39,2,0,0,0.23529411764705882,0.8571428571428571,0.14732285835082917
18,state_direct,202.0,18,2,0,0,0.6470588235294118,0.9428571428571428,0.14732285835082917
18,random_acquire,186.0,11,2,120,120,0.7843137254901961,0.9523809523809523,0.09806512759049
18,always_acquire,86.00000000000003,1,0,120,120,0.9803921568627451,1.0,0.01639476362709256
18,eig_one_step,94.00000000000003,3,0,120,120,0.9411764705882353,1.0,0.024155858808701833
18,voi_one_step,79.60000000000002,3,0,84,84,0.9411764705882353,1.0,0.029147680835304182
18,active,77.60000000000002,1,2,84,84,0.9803921568627451,0.9615384615384616,0.026401958507186185
19,baseline,239.0,27,3,0,0,0.47058823529411764,0.8888888888888888,
19,binary_naive,253.0,32,3,0,0,0.37254901960784315,0.8636363636363636,0.18340827779922142
19,binary,276.0,39,1,0,0,0.23529411764705882,0.9230769230769231,0.1526592451322247
19,state_direct,206.0,16,6,0,0,0.6862745098039216,0.8536585365853658,0.1526592451322247
19,random_acquire,158.0,7,4,120,120,0.8627450980392157,0.9166666666666666,0.09284295414060595
19,always_acquire,108.00000000000001,2,4,120,120,0.9607843137254902,0.9245283018867925,0.03945749496367413
19,eig_one_step,89.00000000000003,1,1,120,120,0.9803921568627451,0.9803921568627451,0.015615215512260581
19,voi_one_step,83.20000000000002,1,4,83,83,0.9803921568627451,0.9259259259259259,0.03870840233892721
19,active,91.0,2,3,83,85,0.9607843137254902,0.9423076923076923,0.038979068861163
