scenario_id,policy,probe_id,observed_change,probe_action
S11,Baseline_AlwaysAccept,P003,none,ACCEPT
S11,Baseline_AlwaysAccept,P004,none,ACCEPT
S11,Baseline_AlwaysAccept,P005,none,ACCEPT
S11,Baseline_AlwaysAccept,P006,none,ACCEPT
S11,Baseline_AlwaysAccept,P007,none,ACCEPT
S11,Baseline_AlwaysAccept,P008,none,ACCEPT
S11,Baseline_AlwaysAccept,P009,none,ACCEPT
S11,Baseline_AlwaysAccept,P010,major,INVESTIGATE
S12,Policy_A_Threshold,P001,major,INVESTIGATE
S12,Policy_A_Threshold,P002,major,INVESTIGATE
S12,Policy_A_Threshold,P003,none,ACCEPT
S12,Policy_A_Threshold,P004,none,ACCEPT
S12,Policy_A_Threshold,P005,none,ACCEPT
S12,Policy_A_Threshold,P006,none,ACCEPT
S12,Policy_A_Threshold,P007,none,ACCEPT
S12,Policy_A_Threshold,P008,none,ACCEPT
S12,Policy_A_Threshold,P009,none,ACCEPT
S12,Policy_A_Threshold,P010,none,ACCEPT
S12,Policy_B_CostSensitive,P001,major,INVESTIGATE
S12,Policy_B_CostSensitive,P002,major,INVESTIGATE
S12,Policy_B_CostSensitive,P003,none,ACCEPT
S12,Policy_B_CostSensitive,P004,none,ACCEPT
S12,Policy_B_CostSensitive,P005,none,ACCEPT
S12,Policy_B_CostSensitive,P006,none,ACCEPT
S12,Policy_B_CostSensitive,P007,none,ACCEPT
S12,Policy_B_CostSensitive,P008,none,ACCEPT
S12,Policy_B_CostSensitive,P009,none,ACCEPT
S12,Policy_B_CostSensitive,P010,none,ACCEPT
S12,Baseline_AlwaysAccept,P001,major,INVESTIGATE
S12,Baseline_AlwaysAccept,P002,major,INVESTIGATE
S12,Baseline_AlwaysAccept,P003,none,ACCEPT
S12,Baseline_AlwaysAccept,P004,none,ACCEPT
S12,Baseline_AlwaysAccept,P005,none,ACCEPT
S12,Baseline_AlwaysAccept,P006,none,ACCEPT
S12,Baseline_AlwaysAccept,P007,none,ACCEPT
S12,Baseline_AlwaysAccept,P008,none,ACCEPT
S12,Baseline_AlwaysAccept,P009,none,ACCEPT
S12,Baseline_AlwaysAccept,P010,none,ACCEPT
S13,Policy_A_Threshold,P001,none,ACCEPT
S13,Policy_A_Threshold,P002,none,ACCEPT
S13,Policy_A_Threshold,P003,major,INVESTIGATE
S13,Policy_A_Threshold,P004,none,ACCEPT
S13,Policy_A_Threshold,P005,none,ACCEPT
S13,Policy_A_Threshold,P006,none,ACCEPT
S13,Policy_A_Threshold,P007,none,ACCEPT
S13,Policy_A_Threshold,P008,major,INVESTIGATE
S13,Policy_A_Threshold,P009,none,ACCEPT
S13,Policy_A_Threshold,P010,none,ACCEPT
S13,Policy_B_CostSensitive,P001,none,ACCEPT
S13,Policy_B_CostSensitive,P002,none,ACCEPT
S13,Policy_B_CostSensitive,P003,major,INVESTIGATE
S13,Policy_B_CostSensitive,P004,none,ACCEPT
S13,Policy_B_CostSensitive,P005,none,ACCEPT
S13,Policy_B_CostSensitive,P006,none,ACCEPT
S13,Policy_B_CostSensitive,P007,none,ACCEPT
S13,Policy_B_CostSensitive,P008,major,INVESTIGATE
S13,Policy_B_CostSensitive,P009,none,ACCEPT
S13,Policy_B_CostSensitive,P010,none,ACCEPT
S13,Baseline_AlwaysAccept,P001,none,ACCEPT
S13,Baseline_AlwaysAccept,P002,none,ACCEPT
S13,Baseline_AlwaysAccept,P003,major,INVESTIGATE
S13,Baseline_AlwaysAccept,P004,none,ACCEPT
S13,Baseline_AlwaysAccept,P005,none,ACCEPT
S13,Baseline_AlwaysAccept,P006,none,ACCEPT
S13,Baseline_AlwaysAccept,P007,none,ACCEPT
S13,Baseline_AlwaysAccept,P008,major,INVESTIGATE
S13,Baseline_AlwaysAccept,P009,none,ACCEPT
S13,Baseline_AlwaysAccept,P010,none,ACCEPT
S14,Policy_A_Threshold,P001,major,INVESTIGATE
S14,Policy_A_Threshold,P002,major,INVESTIGATE
S14,Policy_A_Threshold,P003,major,INVESTIGATE
S14,Policy_A_Threshold,P004,none,ACCEPT
S14,Policy_A_Threshold,P005,none,ACCEPT
S14,Policy_A_Threshold,P006,none,ACCEPT
S14,Policy_A_Threshold,P007,none,ACCEPT
S14,Policy_A_Threshold,P008,none,ACCEPT
S14,Policy_A_Threshold,P009,none,ACCEPT
S14,Policy_A_Threshold,P010,none,ACCEPT
S14,Policy_B_CostSensitive,P001,major,INVESTIGATE
S14,Policy_B_CostSensitive,P002,major,INVESTIGATE
S14,Policy_B_CostSensitive,P003,major,INVESTIGATE
S14,Policy_B_CostSensitive,P004,none,ACCEPT
S14,Policy_B_CostSensitive,P005,none,ACCEPT
